Name,Position,Wins,Hybrid Rating
Jack Stephens,Defender,25,-0.14234135670355888
Ryan Bertrand,Defender,83,0.21222682064272172
Jake Vokins,Defender,0,-0.20633387080461876
Jan Bednarek,Defender,22,-0.08141160888057598
Yan Valery,Defender,11,-0.23835927327840048
Kyle Walker-Peters,Defender,13,-0.12122529956612647
Mohammed Salisu,Defender,0,-0.23624029042374792
Moussa Djenepo,Midfielder,7,-0.23330475340079557
Oriol Romeu,Midfielder,66,0.17519929143483895
James Ward-Prowse,Midfielder,80,0.5217948866891062
Stuart Armstrong,Midfielder,19,-0.025540651164396872
Sofiane Boufal,Midfielder,12,-0.06270062598110725
Nathan Redmond,Midfielder,53,0.5117722510324556
William Smallbone,Midfielder,5,-0.1950786719027467
Nathan Tella,Midfielder,1,-0.2263854833260999
Shane Long,Forward,110,0.5447709088873823
Danny Ings,Forward,32,0.27221756529245084
Che Adams,Forward,13,-0.14988729223015726
Michael Obafemi,Forward,10,-0.15076958106914695
Hugo Lloris,Goalkeeper,153,1.2019268425689849
Paulo Gazzaniga,Goalkeeper,13,-0.0735824416481974
Joe Hart,Goalkeeper,169,1.5596437584364817
Alfie Whiteman,Goalkeeper,0,-0.23624029042374792
Brandon Austin,Goalkeeper,0,-0.23624029042374792
Toby Alderweireld,Defender,98,0.4381487886537112
Davinson Sánchez,Defender,46,-0.032612050433316886
Juan Foyth,Defender,8,-0.2591290536538447
Serge Aurier,Defender,32,-0.1339112111971661
Ben Davies,Defender,96,0.4424224104582062
Japhet Tanganga,Defender,1,-0.21083702695547066
Matt Doherty,Defender,32,0.05793174435832717
Dennis Cirkin,Defender,0,-0.22958541619115666
Cameron Carter-Vickers,Defender,0,-0.23845858183461163
Sergio Reguilón,Defender,0,-0.24067687324547546
Harry Winks,Midfielder,58,0.01493330435899853
Erik Lamela,Midfielder,81,0.4139214625926466
Eric Dier,Midfielder,102,0.4403072474825668
Moussa Sissoko,Midfielder,110,0.4564413286451883
Ryan Sessegnon,Midfielder,10,-0.08967124486310955
Dele Alli,Midfielder,90,0.8319752016285873
Tanguy Ndombele,Midfielder,6,-0.1513267117509057
Gedson Fernandes,Midfielder,3,-0.2225772063830447
Pierre-Emile Højbjerg,Midfielder,34,0.005364756405818287
Harvey White,Midfielder,0,-0.23180370760202038
Giovani Lo Celso,Midfielder,11,-0.13900176191821087
Lucas Moura,Forward,38,0.02356570939596092
Jack Clarke,Forward,0,-0.23180370760202038
Son Heung-Min,Forward,95,0.5828029717248279
Harry Kane,Forward,120,1.3008310629134252
Steven Bergwijn,Forward,8,-0.18471875000752283
Gareth Bale,Forward,62,0.5966435989151472
Sam Johnstone,Goalkeeper,0,-0.24841977143240715
David Button,Goalkeeper,1,-0.24259349077784376
Jonathan Bond,Goalkeeper,0,-0.24955003888893043
Darnell Furlong,Defender,0,-0.22226115426709442
Kieran Gibbs,Defender,88,0.13912512678446642
Kyle Bartley,Defender,6,-0.21912280988134547
Semi Ajayi,Defender,0,-0.25264975839396353
Conor Townsend,Defender,0,-0.24955003888893043
Ahmed Hegazi,Defender,6,-0.1539390355235425
Dara O'Shea,Defender,0,-0.22878614353399196
Cédric Kipré,Defender,0,-0.24067687324547546
Lee Peltier,Defender,7,-0.23286834663320924
Branislav Ivanovic,Defender,152,0.5931088227225255
Jake Livermore,Midfielder,52,0.13883466998970234
Matt Phillips,Midfielder,28,0.23557854407033368
Kamil Grosicki,Midfielder,4,-0.16976494339848708
Rekeem Harper,Midfielder,1,-0.2068512631361816
Romaine Sawyers,Midfielder,0,-0.24970007283843418
Sam Field,Midfielder,5,-0.19159712573315646
Kyle Edwards,Midfielder,0,-0.2373662712848472
Grady Diangana,Midfielder,7,-0.18005962212121068
Conor Gallagher,Midfielder,0,-0.2340219990128842
Hal Robson-Kanu,Forward,16,-0.174604471519258
Kenneth Zohore,Forward,4,-0.21415971591686275
Matheus Pereira,Forward,0,-0.22463205263410363
Charlie Austin,Forward,25,0.10350672801730579
Callum Robinson,Forward,3,-0.20595650600382265
Jamie Soule,Forward,0,-0.23180370760202038
Lukasz Fabianski,Goalkeeper,91,0.8078973114429233
David Martin,Goalkeeper,2,-0.2476492180610451
Darren Randolph,Goalkeeper,10,-0.1508392044772637
Nathan Trott,Goalkeeper,0,-0.23624029042374792
Aaron Cresswell,Defender,61,0.23047536669143534
Fabián Balbuena,Defender,15,-0.14615269464892044
Gonçalo Cardoso,Defender,0,-0.23180370760202038
Angelo Ogbonna,Defender,47,0.04213100629220096
Issa Diop,Defender,23,-0.10487440502689546
Ryan Fredericks,Defender,13,-0.14816426971371632
